fund,start_year,end_year,beneficiary_name,project_name,total_amount,county
ERDF,01.10.2009,30.09.2010,Tinnitus Rehabiliataion through Auditory Sensory Substitution,Tinnitus Rehabiliataion through Auditory Sensory Substitution,28534.86,Kildare
ERDF,01.08.2007,31.08.2008,"Closed-Loop Ga,e State Replication Method for Peer-to-Peer Networked Multiplayer Games",The project aims to develop to the level of licensable technology a method by which game stst replication can be achieved across multiplayer computer games in a dynamic and adaptive fashion.,75816.16,Kildare
ERDF,24.09.2007,23.09.2008,The Development of a Highly Selective & Sensitive Dopamine Sensor for Biomedical Application,The project proposes to form novel materials consisting of a conducting polymer doped with macrocyclic cages and to emply these materials to sense dopamine in a highly selective and sensitive manner.,62573.93,Kildare
ERDF,07.09.2007,06.10.2008,Commercialisation of Maynosin,"The project outlines a series of actions to determine teh precise suitibility of Maynosin for commercial exploitation (including in vivo efficacy), and details the pathway to licencing",58239.63,Kildare
ERDF,31.01.2008,20.01.2009,Development of a novel nanoscale materials for the sensing of nitrates,"In this project the researchers address the instability by developing a novel nitrate sensor that is robust, highly selective to nitrates, is capable of sensing nitrates at low concentrations and is highly stable.",63060.9,Kildare
ERDF,02.07.2007,01.11.2008,Chemical Hit Discovery for Insulin Resistance and Type 2 Diabetes,"This project will identify small chemical compounds (hits) which will reduce plasma RBP, abrogate its biological effects and in so doing, restore insulin sensitivity and prevent the development of type 2 diabetes.",88325.92,Kildare
ERDF,01.05.2008,30.04.2010,System & Tech. for delivery of therapeutic molcules to the lungs based on an electrospray bombarment,"Develop a novel device, RespirEfector, which will enable DNA, siRNA and other therapeutic molecules to be delivered to cells in vivo for the purpose of research and therapy.",303428.55,Kildare
ERDF,01.10.2008,31.12.2011,Biosensor technologies for Neurochemical Applications (BTNA),To complete the technology development of a polystyrene-based biosensor prototype designed in the BioAnalytics Laboratory and to establish its commercial potential for real-time monitoring of trgeted neurochemicals in pre-clinical applications.,263856.72,Kildare
ERDF,01.08.2008,31.07.2010,Platforms for enabling the Next Generation of Software Defined Radios,To develop a baseband controller unit that will allow one to combine existing SDR technologies into a cohesion technolgy platform. To develop a low-cost high-speed pc-standard communications interface to enable wideband SDR systems,207972.53,Kildare
ERDF,01.01.2009,01.01.2011,Novel biomarker application for the detection of infection with Aspergillus fumigatus,"To develop novel test systems for , and identify new antibody biomarkers of, infection, to enable detection of infection with, and exposure to, Aspergillus fumigatus.",181247.05,Kildare
ERDF,01.04.2009,01.04.2012,Electrochemical Biosensors for medical Applications (EBMA),"To completely characterise the sensors for in-vivo application, to further increase sensitivity so that sensors can be used for in-vivo neuronal activity detection and to commercialise these sensors through licencing them to a NUIM start-up company.",224776.96,Kildare
ERDF,01.01.2010,31.03.2012,Control of an array of wave energy devices for electricity production,The project aims to achieve a software being able to simulate an array of axisymmetric surface wave energy converters.,123816.99,Kildare
ERDF,01.01.2009,01.01.2011,Novel biomaker application for the detection of infection with Aspergillus fumigatus,"To develop novel test systems for, and identify new antibody biomakers of infection, to enable detection with, and exposure to, Aspergillus fumigatus.",152770.71,Kildare
ERDF,01.08.2008,08.11.2010,Platforms for enabling the Next Generation of Software Defined Radios.,To develop a baseband controller unit that will allow one to combine existing SDR technologies into a cohesion technology platform. To develop a low-cost high-speed pc-standard communications interface to enable wideband SDR systems.,29177.48,Kildare
ERDF,01.05.2008,30.04.2010,System & Technology for delivery of therapeutic molecules to teh lungs on an electrospray bombardmen,"Develop a novel device, RespirEfector, which will enable DNA, siRNA and other therapeutic molecules to be delivered to cells in-vivo for the purposes of research and therapy.",61353.27,Kildare
ERDF,01.07.2010,30.06.2011,Long-term In-Vivo Electrochemical (LIVE) Monitoring: Application in BAM relevant to Drug Discovery.,"LIVE-BAM this project proposes to address the question ""why might pre-clinical behavioural neuroscience fail CNS drug discovery"", by using LIVE sensors and techniques to detect in real-time signalling substances released from nerve cells onto the ECF.",95159.29,Kildare
ERDF,01.10.2009,30.11.2010,Tinnitus Rehabilitation through Auditory Sensory Substitution,The project aims to form a start-up company to develop biomedical devices aimed initially at the rehabilitation of Tinnitus and later the at other illusory perceptua isorders including Phatom Limb Snydrom.The device - Tinnitus Rehabilitation Device will train the brain to discriminate between real sounds and the imaginary sounds arising from Tinnitus.,46169.68,Kildare
ERDF,01.11.2009,31.12.2010,Hit Optimisation for Insulin resistenance and Type 2 Diabetes.,"To optimise the hits to leads using crystallographic analysis of drug-RBP complexes, syntheses of derivatives based on these structures, and in-vivtro analyses to establish robust structure/activity relationships.",60818.28,Kildare
ERDF,01.07.2009,31.08.2010,Proving the therapeutic potentail of an insect virus protein.,To identify new approaches to regulate exaggerated and /chronic incurable inflammatory based diseases. This project proposes viral Pellino as one strategy to regulate exaggerated/chronic inflammatory responses.,32923.64,Kildare
ERDF,01.01.2009,31.03.2010,SUV Rollover/ Tire pressure Monitor,To propose a real-time estimation algorithim that is based upon the observation that the way vehicle behaves is inherently linked with its centre of gravity.,1361.23,Kildare
ERDF,01.08.2011,30.11.2011,Commercialisation of test for dectection of Aspergillosis in both human and veterinary species,Identify and contact clinicians working directly with patient groups; Assess market potential for tests;conduct market research,9191.4,Kildare
ERDF,01.07.2011,28.02.2012,"O2 and pH Sensor Design, Deveolpment and Characterisation",Investigate the most suitable solid-state electrode for clinical O2 sensor; Development of a pH sensor which operates by monitoring the electrochemical redox activity of the p-quinone moiety of surface-bounnd Fast Blue RR as a function of pH; Pre-clinical in-vivo testing of O2 and pH sensors,127454.78,Kildare
ERDF,01.01.2011,31.03.2012,Digital Sound Mark DSM,To develop prototypes that integrate seamlessly into stakeholders' systems in the music recordign industry and offer them benefits above and beyond what competitors offer.,139451.96,Kildare
ERDF,01.03.2011,28.02.2012,In Vivo Translation of a novel Platform Tech: electrospray-medicated Endoscopic Diagnosis of Lung Ca,Product and Market Awareness study; Industry analysis of the end-users; Exploration of the commercialisation route to licencing.,148847.94,Kildare
ERDF,06.08.2012,30.09.2012,HIGH TECHNOLOGY PERFORMANCE LEVEL WAVE ENERGY CONVERTER CONCEPT DEVELOPMENT (HITPLWEC),The aim of this project is to develop High Technology Performance Level Wave Energy Converter technology (HiTPLWEC) at low technology readiness levels and to create a new wave energy coverter device technology development company in form of a start-up.,14600.1,Kildare
ERDF,01.10.2012,31.12.2012,Valadation of a Method for Dopamine Detection Freely-Moving Animals,"Using FSCV (fast-scan cyclic voltammetry) equipment currently used for in vitro work along with the experimental set up used for sensor experiments in freely moving animals, the idea would be to integrate the two systems in order to generate validation data for such use of the FSCV technique.",11313.45,Kildare
ERDF,01.09.2012,01.11.2014,TEOWEC Techno-Economic Assessment & optimisation for Wave Energy Converter Technologies (TEOWEC),"The project aims to develop NUIM background IP to form a sound technological platform to support a new Wave Energy Services Company spun out of the Centre for Ocean Energy Research (COER).  The TEOWEC software provides a means to assess and improve WEC technology through the application of a combination of engineering analysis, financial analysis and optimisation techniques.",16281.01,Kildare
ERDF,09.11.2009,04.02.2010,DSV Road Ltd,upgrade lighting & controls,89523,Kildare
ERDF,07.12.2007,29.04.2009,Wyeth Medica Ireland,The grantee will carry out an energy efficient design review,76194.97,Kildare
ERDF,20.10.2011,13.06.2012,Green Isle Foods Ltd,"Green Isle produces a range of food & has a 20104sqm plant in Naas & a 2717sqm plant in Guteen,The aim of the project was to install Air Compressor Variable speed drives in Naas & Gurteen, using exisiting thermal load to load to reduce boiler load for office heating in Naas, optimize aeration on effluent system. Improve refrigeration efficiency.",271404.72,Kildare
ERDF,27.09.2010,23.12.2010,Intel Ireland Ltd,"The project involved installing a heat exchanger, heating controls, valves & a Prompary pump in the IR1 Data Centre to generate energy savings of 888523KWh per year.",203400,Kildare
ERDF,27.09.2010,30.12.2010,Gren Isle Foods Ltd,"Install ""Vulganus Iceless"" AC units to the blast freezers, Retrofit floating head pressure for free\er plants and optimise condenser in Naas refrigeration.",145948.38,Kildare
ERDF,06.09.2011,23.12.2011,Irish Dog Foods Ltd,"Install air handling unit in the drying rooms, Upgrade two gas cookers with energy efficient cookers, Install occupancy controls and lux level controlled switching",884174.47,Kildare
ERDF,08.08.2012,10.09.2013,Hewlet Packard (Manufacturing) Ltd,"External lighting upgrade, Chiller upgrade with sequence controller and Installation of a vacuum pupm control.",702679.4,Kildare
ERDF,15.08.2012,28.12.2012,Moyvalley Meats (Irl),The grantee will carry out hot water boiler optimization.,84997.34,Kildare
ERDF,16.07.2012,24.12.2012,QK Cold Stores Ltd,"The Grantee will carry out site steam generation efficiency upgrade, site heat recovery, addition of meters to energy monitoring system, upgrade the lighting,cladding and windows in QK Cold Stores offices, Site fork truck chargin efficiency improvement and Energy monitoring system.",214665.56,Kildare
ERDF,04.08.2010,21.12.2010,Simply Soups Ltd,"Dawn Farms heat recovery, falling film evaporator, scrape surface heat exchanger, VSD for high temperature refrigeration compressor, steam reduction project, blow-down recovery from TDS, Cooling water heat recovery, Transportation pilot scheme, M&T installation, Lighting upgrade, PC desktop power management",1305146.96,Kildare
ERDF,18.05.2011,30.11.2016,Campus Incubation,The establishment of a campus incubation centre.,2264596.94,Kildare
ERDF,01.01.2007,31.12.2015,NUIM Cycle 4 Humanities Serving Irish Society (HSIS),"This HSIS consortium represents a major change in the scope and capacity for humanities research, teaching and training in Ireland.",230866.73,Kildare
ERDF,01.01.2007,31.12.2015,"NUIM Cycle 4 National Programme of Research on Knowledge, Innovation, Society and Space (KISS)",This national research programme will focus on three inter-related areas:  _x000D_Innovation and the building of the knowledge society/economy. Social inclusion and the creation of sustainable communities. Spatial strategies and promoting balanced development and competitivenes,230866.73,Kildare
ERDF,01.01.2011,31.12.2017,NUIM Cycle 5 NUI Maynooth ICT Infrastructure Development,This project creates 1800sqm of high-quality dedicated research space to underpin future development of the Hamilton and Microelectronics and Wireless Systems Institutes at NUI Maynooth with a view to encouraging synergies and increasing critical mass in the networking area.,2776456.61,Kildare
ERDF,01.01.2011,31.03.2017,NUIM Bio-Analysis and Therapeutics Structured PhD Programme,"The Bio-Analysis and Therapeutics Structured PhD Programme (Bio-AT) addresses the challenge of increasing quality, quantity and entrepreneurial skills of graduate researchers in the critical areas of biopharmaceutical and biomedical device industries.",806746,Kildare
ERDF,01.01.2011,31.03.2017,NUIM Digital Arts and Humanities PhD Programme,"The Structured PhD in DAH is a four-year programme that provides world-class training in innovative models of arts practice and theory, and humanities research, archiving, and pedagogy. The programme promotes advanced practical and academic research in the application of new media and computer technologies in the arts and humanities",254086.14,Kildare
ERDF,01.01.2011,31.03.2017,NUIM Telecommunications Graduate Initiative (TGI),"This initiative delivers a world class structured telecoms PhD program in Ireland, built on a coherent educational and training programme that meets the needs of the wider economic marketplace through enhanced academic achievement_x000D_",290105.59,Kildare
ERDF,01.01.2011,31.03.2017,NUIM National Audio Visual Repository,"The NAVR provides a central access point for HSS Audio Visual research materials and data gathered and held in HEIs, cultural institutions and social science organisations across the island of Ireland",864099.2,Kildare
ERDF,01.02.2008,30.03.2008,Select Vestry of St Lachtains Church,This church is in use by a very small congregation but is now beginning to increase slowly. It was previously heated by electric infra-red and mobile gas fired heaters. Both forms of these heating systems were totally unsuitable and eventually removed.,13000,Kilkenny
ERDF,20.11.2007,29.08.2008,Ballaghtobin Country House and B&B,It is proposed to use a 60KW woodchip boiler to heat the B&B. It will be fuelled by willow which is grown on Gabbetts Farm._x000D_,33378.92,Kilkenny
ERDF,15.10.2007,29.08.2008,Denis Treacy & Sons Ltd,Installation of three 32 kW ground source heat pumps.,70375,Kilkenny
ERDF,17.09.2007,29.01.2008,Kells Resource Centre,Installation of a 65 kW wood pellet boiler.,24325,Kilkenny
ERDF,05.09.2007,29.02.2008,Camphill Communities of Ireland,Installation of a 65 kW wood pellet boiler.,23975,Kilkenny
ERDF,11.04.2007,27.07.2007,Cu Chulainn Hurleys Ltd,Installation of a 150kWHDG Compact boiler,74950,Kilkenny
ERDF,17.09.2007,29.01.2008,Kells Resource Centre,Install a solar water heater to provide hot water for the centre. Applied seperately for funding for a wood pellet/chip boiler._x000D_,5890.65,Kilkenny
ERDF,29.02.2008,29.08.2008,Tony Mullins,"To install vacumn tube solar panel & highly inslulated cylinder/tank & radiator, insulate walls & ceiling of room where tank & rad are located so as to form drying room. Hot water for washing horses. To replace badly insulated tank.",5300,Kilkenny
ERDF,08.01.2009,31.03.2009,Ballaghtobin Country House and B&B,Installation of 12.84 sq m of flat plate solar collectors.,8512.5,Kilkenny
ERDF,17.09.2007,09.12.2008,CDCD Network Limited,Installation of a 65 kW wood pellet boiler.,36105,Kilkenny
ERDF,02.10.2007,30.09.2008,Callan Community Network Limited,Installation of a 200 kW woodchip boiler.,106953.4,Kilkenny
ERDF,29.11.2007,31.07.2008,Urlingford on the move Limited,The project involves the installation of a 50kW multi-fuel biomass boiler and fuel store. The building has a floor area of 599.76m2 and a total estimated annual heat demand of 74970kWh.,20828,Kilkenny
ERDF,07.09.2007,01.05.2008,Roto Spiral Limited,To provide heat to a rotary drum dryer to dry chip for further processing to make wood pellet. We require 6MW heat to be able to maximise the capacity of the dryer. _x000D_,906524.38,Kilkenny
ERDF,11.08.2008,31.10.2008,Eoin Griffin Racing Stables,Installation of a 110kW wood chip boiler.,89872.92,Kilkenny
ERDF,12.01.2009,23.11.2009,Tullaroan Parish Development Group,Installation of 34.56 sq m of flate plate solar collectors,27022.03,Kilkenny
ERDF,23.07.2009,23.12.2009,Mastercad Limited,Installation of 2.791 sq m of evacuated tube solar collectors,4520,Kilkenny
ERDF,18.11.2008,27.02.2009,Rosquil House,"9 square metre vacuum tube solar water heating system, heating a 1000 litre Hygeinic DHW tank with external heat exchanger for hot water supply.",15000,Kilkenny
ERDF,29.11.2007,31.07.2008,Urlingford on the move Limited,"The project involves the installation of 10m2 roof mounted solar panels. The building has a floor area of 599.76m2 and a total estimated annual domestic hot water heat demand of 10,810kWh.",8025,Kilkenny
ERDF,27.09.2007,09.12.2008,CDCD Network Limited,Installation of 3 m2 evacuated tube solar panels.,4800,Kilkenny
ERDF,12.01.2009,31.03.2009,College Rd. Filling Station,"This installation includes the supply fit and commission of solar collectors, associated pipework and cylinder. Installation of 6sq m of evacuated tube solar collctors.",5200,Kilkenny
ERDF,08.06.2009,15.12.2009,Newbridge Golf Club,"8 collectors (20 sq m)on south facing roof, heating a 1250ltr buffer suppling a 300lt DHW cylinder and underfloor heating",16422,Kilkenny
ERDF,20.11.2007,31.07.2008,Youngs Motor Holdings (Kilkenny) Ltd,"The grantee will install a 100kW wood pellet boiler at Waterford Road, Kilkenny",40450,Kilkenny
ERDF,21.04.2010,15.10.2010,Walter Walsh,Installation of 6.42 m2 of flat plate solar panels.,4845.81,Kilkenny
ERDF,22.11.2010,24.02.2011,D Pellet Ltd,Feasibility study on use of Biomass CHP to avail of Refit power generation prices and increase the plant biomass drying capacity.,33000,Kilkenny
ERDF,26.01.2010,05.07.2010,Kingsriver Community Holdings Ltd,Installation of a 200kW wood chip boiler.,67700,Kilkenny
ERDF,04.11.2010,24.02.2011,Moneenroe community Council,Installation of 2.6 m2 evacuated tube solar panels.,5500,Kilkenny
ERDF,14.12.2010,10.05.2011,L'Arche Community,Installation of 7.216m2 flat plate solar panels.,9226.43,Kilkenny
ERDF,03.09.2010,09.02.2011,Dr James Ryan,Installation of a 24 kW wood pellet boiler.,13204.41,Kilkenny
ERDF,07.09.2010,23.12.2010,Diageo Ireland,"The Project involved replacing main isolation values, upgrading IMS Distribution Manifold, Upgrading Chilled water distribultion, replacing existing control valuve on blled line adding pressure & temp controls in Kilkenny Brewery & in Waterford Brewery, new refrigeration system, installing meters to monitor electrical load, segregation of plant & electrical equipment & upgrading plant room",264000,Kilkenny
ERDF,27.03.2012,31.12.2012,CHI Environmental Ltd.,Landfill and recycling of construction and demolition waste.,40000,Kilkenny
ERDF,24.09.2012,31.12.2013,Enviroclad Systems Ltd BI,Researching a range of thermoplastic and thermoset roof and wall panels,7870.12,Kilkenny
ERDF,08.04.2013,31.12.2013,CF Pharma Ireland Ltd BE,Development and sale of medical devices,49965.96,Kilkenny
ERDF,01.01.2011,31.12.2012,Shannon Applied Biotechnology Centre,"Shannon Applied Biotechnology Centre is an industry driven and responsive applied research centre. The centre's mission is to develop innovative products and ingredients from natural resources and using novel processes to obtain value added food products, food flavours and medicinal products for the Food, Nutraceutical and HealthCare industries.",100051.26,Limerick City
ERDF,01.06.2007,01.01.2011,Shannon Applied Biotechnology  Centre,"Shannon ABC will be a centre of excellence in bioprocessing, bioseparation and bioactive screening, mining low cost raw materials, such as marine algae and a variety of food by-products for high value end products.",805197.84,Limerick City
ERDF,01.05.2007,31.07.2008,Fibre Optic Hydrogen Sensor Using the thin film of Palladium Alloy,"Palladium will be alloyed and experimented with other metals such as gold, silver, nickel and others to investigate and establish the optimum response of the sensor and to improve its cross sensitivity characteristics.",44252.46,Limerick City
ERDF,02.07.2007,30.04.2009,A novel velocity amplifier for enchanced energy harvesting,The object of this project is to double the power output of a pieoelectric-based energy harvester by amplifying ambient vibrations using the principle of velocity amplification by multiple impacts to impart a shock to the transducer,69172,Limerick City
ERDF,01.01.2008,31.03.2009,Point of Care Diagnostic Chip for the detection of herpes simplex virus,"To design, evaluate and asses the performance of a disposable microfluidic platform incorporating fluorescent detection on-chip suitable for the diagnosis of herpes simplex virus (HSV)type 1 and 2 in a point of care (POC)setting.",78606.82,Limerick City
ERDF,01.08.2008,30.11.2010,Find me a Service,"FindMe is an interactive information service that pushes requested information to a user, based on user perferences and geographic location.",68643.81,Limerick City
ERDF,01.01.2008,30.04.2009,High Performance Elastomer Nanocomposite Thermal Interface Materials,"Current thermal interface materials (TIMS) are inadequate to meet the power consumption demands of next-generation microprocessors. The concept is to be proven during HiPerTim is that a highly-effective TIM can be produced by incorporating metallic or ceramic nanorods into an elastomer matrix using an informed choice of nanoadditive, morphology, compatisbilister and processing conditions.",70380.95,Limerick City
ERDF,01.10.2007,01.10.2008,A mulistage forced Convection Cooler,This project aims to develop a novel multistage heat-sink technology to the point where a route to commerical exploitation becomes clear.,68129.69,Limerick City
ERDF,01.10.2007,30.09.2008,Soluble Phosphate Glasses with enchanced mechanical properties for biomedical applications,The project aims to synthesise a new soluble biomaterial with enchanced menchanical strengh based on nitrogen containing phosphate glasses,75325.58,Limerick City
ERDF,01.01.2008,30.06.2009,The Halo Filter - An embolic protection device,Stroke is the 3rd leading cause of death in Europe and United States with approx 30% of strokes being caused by embokic debris that originates in diseased carotid arteries. Carotid setenting is a minimally invasive technique that can be used to treat this disease. During stenting procedure these devices prevent debis form entering the cerebral vasulcature by filtering the blood but as a side effect servely restrict blood flow to the brain.The proposed device eliminates the reduction of bloodflow,68001.71,Limerick City
ERDF,01.12.2007,30.11.2008,A novel veined heat sink for low profile thermal management applications,"The object of the project is the development of a novel heat sink technology which will alleviate the growing energy costs in data centre and telecoms applications, and offset the necessity for liquid cooling.",88268.23,Limerick City
ERDF,01.01.2009,15.11.2011,Digital power SoC Incorporating Time/Event Driven Control,"The object of this project are to develop, implement and characterise new event-driven control algorithms for VRMs. The will be achived through the development of analogue ""event estiation"" circitry and a DSP core architecture which is designed to compute multiple parallel control laws necessary for VRMs",74204.86,Limerick City
ERDF,01.01.2009,31.12.2009,Design and Development of a Novel Wireless Sensor for Assisted Living,Design and development of a Novel Wireless Sensor for assisted living,83308.98,Limerick City
ERDF,02.07.2007,25.11.2008,Development of a dual balloon catheter for treatment of carried arterial,Development of a dual balloon catheter for treatment of carotid arterial,51861.37,Limerick City
ERDF,01.09.2007,31.01.2011,Alternative Laser Doppler Virometry System,Development of a low cost optical instrument offering features similar to and competitive with scanning laser doppler vibrometry (LDV),127395.6,Limerick City
ERDF,01.02.2008,31.05.2009,Plug Flow Heat Exchanger,Novel heat exchanger design,91549.42,Limerick City
ERDF,01.12.2008,30.06.2009,Commercialisation of FindMe,The FindMe Proof of Concept has developed technology that pushes points of interest (specific locations) to a compatible Smartphone.,94355.2,Limerick City
ERDF,15.09.2008,14.09.2009,Gratings from fibres twisted (Graffiti),Standard optical fibres are to be formed into chiral fibre gratings. A use of such devices is to form polarised light from unpolarised light.,3520.02,Limerick City
ERDF,01.10.2008,30.09.2009,Global Environmental Communications Manager,GEM is a generic hardware/software environmental monitoring solution that gathers data from a range of sensors and pushes it towards a central location for processing and presntation,55894.18,Limerick City
ERDF,03.12.2007,30.11.2008,Exploration of Dual Voting Concepts,This project researched concepts of dual voting whch allows a voter to cast their vote on paper while an electronic device works in the background to record it.,66094.3,Limerick City
ERDF,01.01.2009,31.08.2011,An Open & Transparent E-Voting System,"To develop a robust and ergonomic voting machine, central administration server and specialized ballot box.",269796.36,Limerick City
ERDF,31.07.2008,15.11.2010,Develop of the commercialisation of the PreHeat,The development of commercialisation of the Pre/Hydrate Cather for Minimallu Invasive Tissue Engineered Stent-Grafts,177169.41,Limerick City
ERDF,28.06.2010,15.11.2011,Flash Endurance Analyser,To cleary outline the steps required to initiate a spin out company to manufacture and sell flash testers and to initiate the company,64083.55,Limerick City
ERDF,10.08.2009,15.11.2010,Nano and Pico litre technology for medical diagnotics,Nano and Pico litre technology for medical diagnotics,70340.63,Limerick City
ERDF,01.05.2009,01.05.2010,A novel storage Radiator incorprating phase change materials for central heating applications,Reduce domestic heating costs where storage heaters and/or sustainable energy supplies are utilised.,80717.83,Limerick City
ERDF,01.02.2009,01.02.2012,Nanowire/Nanotube infused thermal interface material integrated to thermal management system,Project aims to develop next generation thermal interface material (TIM)integrated directly on the thermal management system such as heat sink as a complete system level solution for efficient thermal management of the packaged semiconductor devices.,1357.26,Limerick City
ERDF,01.04.2008,30.11.2010,PC Based unmanned underwater vehicle Payload Sonar emulation in Real-Time,By fusing video graphic rendering techniques along with other novel developments within imaging/mapping sonar simulation a real-time high resolution sidescan sonar simulator has been developed,126865.51,Limerick City
ERDF,01.04.2008,19.11.2010,Digital controller for high-efficiency DC-DC conversion,Energy efficiency is a key driver in the adpotion of digital power conversion ICs.,266528.65,Limerick City
ERDF,01.08.2007,31.05.2010,Multi purpose platform technologies for subsea operations,"The aim of this project is development of multi-purpose platform technologies for subsea operations,including easing survey equipment integration, efficient planning & mission simulation, training ROV pilots and sonar operators, ROV fault-tolerant control, enchanced in mission operator environment, auto-enchanced survey execution, and offline analysis & replay of acquired data.",272772.27,Limerick City
ERDF,01.10.2007,30.06.2010,A novel arteriovenous graft to facilitte hemodialysis,Hemodialsis involves removal and returning of blood from the body. An existing technology developed by the PI will be modified for use as an AV graft.,315153.74,Limerick City
ERDF,01.07.2009,31.05.2012,A platform for Angioplasty and Stent Development in carotid arteries.,The output from this project will be a pre-clinically approved platform technology for the minimally invasive treatment of Carotid Arterty Disease,157702.36,Limerick City
ERDF,01.01.2009,31.10.2011,Digital Power SoC Incorporating Time/Event Driven Control,"The object of this project is to develop, implement and chartacterise new event-driven control algorithms for VRM's. This will be achieved through the development of analogue ""event estimation"" circuitry and a DSP core architecture which is designed to compute multiple parallel control laws necessary for VRMS.",119982.48,Limerick City
ERDF,10.01.2011,29.02.2012,Nano and Pico Technology for Large Scale Protein Microarrays and clincial diagnostics,This is a 12 month project that builds on the technology developed in the one year  Objectives: To commerically exploit the valuable enabling technology developed in POC by addressing customer and marketing place feedback.,60468.79,Limerick City
ERDF,01.07.2009,15.11.2012,A platform for Angioplasty and stent deployment in carotid arteries,The output from this project will be a pre-clinically approved platform technology for the minimally invastve treatment of Carotid Artery Disease,102624.44,Limerick City
ERDF,01.02.2009,31.01.2012,Nanowire/Nanotube infused thermal interface material integrated to thermal management system,The outcome of the project will be a range of IP covering the development and implementation of these new materials and their optimisation in physical design for thermal management systems capable of removing heat more efficiently.,59551.17,Limerick City
ERDF,01.02.2012,01.07.2013,The Development of a commercial nano anti-reflective glass treatment process for solar glass cover s,To develop a laboratory based glass etching process for toughened float glass for both photovoltaic and solar thermal panels to increase light transmission and reduce light reflectance,46371.25,Limerick City
ERDF,03.09.2012,03.12.2012,Decision support system for global software development,Feasibility study to assess commercial potential of a decision support system to support global software development,12000,Limerick City
ERDF,01.01.2012,30.06.2012,Urinary catheter safety syringe (USCSS) for Transurethral Catheterisation,Transurethral catheterisation is a blind medicial procedure unertaken by doctors in all hospitals worldwide. Problems can occur during deplyment of the catheter. This project will evaluate the feasibility of a new catheter design that includes a safety feature to prevent problems occurring.,14791.1,Limerick City
ERDF,01.05.2012,07.09.2012,Condition monitoring system for large wind turbine blades,Monitoring of large wind turbines,3799.43,Limerick City
ERDF,01.03.2012,31.08.2014,Flexor development of cost effective deep neck muscle strength and flexion rehabilitation devices,Development of physiotherapy devices,47900.13,Limerick City
ERDF,20.08.2012,28.02.2013,Residual stress determination using indentation methods,Investigation of a new technique for residual stress determination,697.8,Limerick City
ERDF,01.07.2012,30.04.2015,Developing improved econimies in coating systems to replace palladium in the electronic supply chain,"The new electroplated coatings will be produced in a chemically stable, optimized and stable nickel-phosphorus/nanoCeO2/top gold flash eclectoplating process, offering better corrosion and wear resistance than coating currently used for electronics.",9252.56,Limerick City
ERDF,01.01.2012,31.08.2013,Antimicrobial nanoparticles coated on thermoplastic textiles,"This project is about the coating of textiles used in areas such as medical uniforms, mattresses, filters and horse blankets, with an ant micrbial finish that helps prevent infection.",62059.45,Limerick City
ERDF,03.09.2012,30.11.2012,An orolingual pressure sensing system,OrpPress- an intraoral interface pressure measurement system,2549.42,Limerick City
ERDF,01.06.2012,31.08.2012,Architecture Recovery and Consistency,Architecture Recovery and Consistency,11980.21,Limerick City
ERDF,03.01.2012,31.05.2012,Repair of composite structures,Repair of composite structures,14500,Limerick City
ERDF,16.07.2012,01.10.2013,Stryker (Howmedica International S De RL),"CHW Generation & Distribution Installation, Replace Lennox Units with AHUs, Furnace Heat Recovery to LPHW, Cooling Bed Heat Recovery to Utility and Glazing upgrade, Vacuum Furnace and Pol Cooling Energy Initiatives, Site HVAC Upgrades, Replacement Boilers for Simplex Process",1166484.56,Limerick City
ERDF,30.11.2008,31.12.2012,The Crossroads Public Transport  Hubs & Public Realm Enhancement Works,"The Limerick Public Realm Enhancement Scheme comprises the fourth stage of the Limerick City Centre Remodeling of Streets and Public Open Spaces Programme, led by Limerick City Council. This ambitious initiative aims to make the City Centre a pedestrian-friendly environment and a far more attractive place in which to shop, to visit, do business, and pass the time of day. _x000D_",6000000,Limerick City
ERDF,01.01.2007,31.12.2015,UL Cycle 4 Nanoscience and Nano-scale Technologies for Ireland (NANOTEIRE),"The creation of a shared national infrastructural capability that will fill the acknowledged gaps, and be serviced effectively by trained support staff, in order to enhance the national capacity for delivering innovative research in nanoscience and nanoscale technologies.",1678222.98,Limerick City
ERDF,01.01.2007,31.12.2015,UL Cycle 4 National Biophotonics & Imaging Platform (NBIP),"The NBIP is a development programme aiming to build on existing institutional human and capital resources in imaging and bio photonics so as to create a structured national network of accessible research and training facilities and to sustain internationally competitive research programmes in Molecular, Cellular, Animal and Human Imaging.",104278.41,Limerick City
ERDF,21.12.2010,31.03.2017,UL National Centre of Applied Materials Research Cycle 5,"To develop search programmes, specifically in pharmaceutical & composite materials, which will assist in future knowledge transfer & position Ireland as a preferred location for further investment and employment. NCAMR will support the expansion of the SFI-SRC in Solid State Pharmaceuticals to form an internationally established centre of excellence on all aspects of the formation of pharmaceutical materials.",7878430.77,Limerick City
ERDF,01.01.2011,31.03.2017,UL  Structured PhD Programme in Biomedical Engineering and Regenerative Medicine ( BME & RM ),"This project Structured PhD Programme spans the Biomedical Engineering and Regenerative Medicine domains and aims to become a leading international graduate education programme in the field, in which Ireland is already taking a strong international role. The overall objective is to develop PhD graduates who will produce ground-breaking scientific results, benefiting human health and contributing to economic growth, and who will, in turn, lead research and development in these fields in industry",393520.83,Limerick City
